Date : 2024-05-08 14:04:42
Directory : /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator
Total : 134 files,  14215 codes, 438 comments, 816 blanks, all 15469 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| presentation/src/components                                                                                                         |         12 |        615 |         14 |         50 |        679 |
| presentation/src/components/AboutSection                                                                                            |          1 |        115 |          0 |          3 |        118 |
| presentation/src/components/BackgroundGradient                                                                                      |          1 |         13 |          0 |          2 |         15 |
| presentation/src/components/BackgroundImage                                                                                         |          1 |         18 |          0 |          3 |         21 |
| presentation/src/components/DialogueMessage                                                                                         |          1 |         54 |          1 |          9 |         64 |
| presentation/src/components/FeaturesSection                                                                                         |          1 |         73 |          1 |          4 |         78 |
| presentation/src/components/HeaderSection                                                                                           |          1 |         45 |          0 |          3 |         48 |
| presentation/src/components/Loading                                                                                                 |          1 |         15 |          0 |          2 |         17 |
| presentation/src/components/NavBar                                                                                                  |          1 |         64 |          0 |          6 |         70 |
| presentation/src/components/OtherMaterialsSection                                                                                   |          1 |         34 |          0 |          2 |         36 |
| presentation/src/components/ScrollAssistant                                                                                         |          1 |         36 |         12 |         10 |         58 |
| presentation/src/components/TeamSection                                                                                             |          1 |         84 |          0 |          3 |         87 |
| presentation/src/components/TechStackSection                                                                                        |          1 |         64 |          0 |          3 |         67 |
| presentation/src/constants                                                                                                          |          1 |          1 |          0 |          1 |          2 |
| presentation/src/hooks                                                                                                              |          1 |        125 |          6 |         21 |        152 |
| presentation/src/pages                                                                                                              |         14 |      1,294 |         27 |        128 |      1,449 |
| presentation/src/pages/DeveloperOptions                                                                                             |          1 |         40 |          2 |          5 |         47 |
| presentation/src/pages/GetStarted                                                                                                   |          7 |        704 |          9 |         79 |        792 |
| presentation/src/pages/Home                                                                                                         |          1 |         30 |          0 |          4 |         34 |
| presentation/src/pages/Microservices                                                                                                |          3 |        251 |          6 |         21 |        278 |
| presentation/src/pages/UploadMicroservice                                                                                           |          2 |        269 |         10 |         19 |        298 |
| presentation/src/router                                                                                                             |          1 |         38 |          1 |          1 |         40 |
| presentation/src/types                                                                                                              |          8 |         53 |          0 |         10 |         63 |
| testing                                                                                                                             |          8 |        768 |        134 |        182 |      1,084 |
| testing/applicationtests                                                                                                            |          5 |        504 |         82 |        115 |        701 |
| testing/dataaccesstests                                                                                                             |          3 |        264 |         52 |         67 |        383 |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                            | language           | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/.github/workflows/deployApplication.yml                           | YAML               |         62 |          0 |          9 |         71 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/.github/workflows/tests.yml                                       | YAML               |         42 |          2 |          9 |         53 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/.golangci.yml                                                     | YAML               |         23 |          1 |          3 |         27 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/.prettierrc                                                       | JSON               |          5 |          0 |          1 |          6 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/README.md                                                         | Markdown           |         27 |          0 |         12 |         39 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/application/api.go                                                | Go                 |         76 |         31 |         12 |        119 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/application/dockerhub/dockerhubAPI.go                             | Go                 |         79 |         13 |         25 |        117 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/application/elasticcontainerservice/elasticcontainerserviceAPI.go | Go                 |         77 |          0 |          6 |         83 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/application/github/githubAPI.go                                   | Go                 |         33 |          5 |         11 |         49 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/application/microholder/README.md                                 | Markdown           |          1 |          0 |          1 |          2 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/application/routes/microservice/getAllMicroservices.go            | Go                 |         14 |          0 |          5 |         19 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/application/routes/microservice/uploadMicroservice.go             | Go                 |         56 |          9 |         15 |         80 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/application/routes/runmicroservice/runMicroservice.go             | Go                 |         25 |          6 |          8 |         39 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/application/routes/stopmicroservice/stopMicroservice.go           | Go                 |         23 |          5 |         10 |         38 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/application/routes/users/authentication.go                        | Go                 |         54 |         11 |         11 |         76 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/application/routes/users/createAccount.go                         | Go                 |         71 |          8 |         16 |         95 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/application/routes/users/getUserDetails.go                        | Go                 |        116 |         13 |         17 |        146 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/application/routes/users/loginAccount.go                          | Go                 |         41 |          9 |         11 |         61 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/application/routes/users/recovery.go                              | Go                 |         78 |         18 |         21 |        117 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/application/routes/users/reset.go                                 | Go                 |         28 |          3 |          8 |         39 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/application/services/executeService.go                            | Go                 |        124 |         18 |         22 |        164 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/application/services/stopService.go                               | Go                 |         31 |          4 |          9 |         44 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/application/services/uploadService.go                             | Go                 |        164 |         38 |         45 |        247 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/business/BuildScript.go                                           | Go                 |          3 |          1 |          2 |          6 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/business/DAO_IF.go                                                | Go                 |          6 |          4 |          4 |         14 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/business/DockerBuild.go                                           | Go                 |          1 |          0 |          1 |          2 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/business/Input.go                                                 | Go                 |          7 |          0 |          2 |          9 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/business/Microservice.go                                          | Go                 |         16 |          1 |          3 |         20 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/business/User.go                                                  | Go                 |         11 |          1 |          3 |         15 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/dataaccess/dbSetup.go                                             | Go                 |         47 |         16 |         16 |         79 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/dataaccess/microservicesDAO.go                                    | Go                 |        151 |         16 |         29 |        196 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/dataaccess/userDAO.go                                             | Go                 |         70 |         13 |         16 |         99 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/go.mod                                                            | Go Module File     |         84 |          0 |          5 |         89 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/go.sum                                                            | Go Checksum File   |        264 |          0 |          1 |        265 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/main.go                                                           | Go                 |         31 |          4 |         10 |         45 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/package-lock.json                                                 | JSON               |      1,613 |          0 |          1 |      1,614 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/package.json                                                      | JSON               |         21 |          0 |          1 |         22 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/.eslintrc.cjs                                        | JavaScript         |         24 |          0 |          1 |         25 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/README.md                                            | Markdown           |         22 |          0 |          9 |         31 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/index.html                                           | HTML               |         13 |          0 |          1 |         14 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/package-lock.json                                    | JSON               |      6,887 |          0 |          1 |      6,888 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/package.json                                         | JSON               |         45 |          0 |          1 |         46 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/postcss.config.js                                    | JavaScript         |          6 |          0 |          1 |          7 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/Main.tsx                                         | TypeScript JSX     |          8 |          0 |          2 |         10 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/assets/styles/styles.css                         | CSS                |          3 |          0 |          1 |          4 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/assets/svg/box.svg                               | SVG                |         15 |          0 |          0 |         15 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/assets/svg/builder.svg                           | SVG                |         91 |          0 |          0 |         91 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/assets/svg/cart.svg                              | SVG                |          9 |          0 |          0 |          9 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/assets/svg/close.svg                             | SVG                |         10 |          0 |          0 |         10 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/assets/svg/code.svg                              | SVG                |          9 |          0 |          0 |          9 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/assets/svg/docker-logo-white.svg                 | SVG                |         10 |          0 |          0 |         10 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/assets/svg/filter.svg                            | SVG                |          9 |          0 |          0 |          9 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/assets/svg/github-black.svg                      | SVG                |         18 |          0 |          0 |         18 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/assets/svg/github-white.svg                      | SVG                |         19 |          0 |          0 |         19 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/assets/svg/go-logo-white.svg                     | SVG                |         12 |          0 |          0 |         12 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/assets/svg/kubernetes-logo-white.svg             | SVG                |          9 |          0 |          0 |          9 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/assets/svg/linkedIn.svg                          | SVG                |         18 |          0 |          0 |         18 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/assets/svg/loading-black.svg                     | SVG                |          9 |          0 |          0 |          9 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/assets/svg/loading-white.svg                     | SVG                |          9 |          0 |          0 |          9 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/assets/svg/login.svg                             | SVG                |         14 |          0 |          0 |         14 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/assets/svg/minus.svg                             | SVG                |          8 |          0 |          0 |          8 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/assets/svg/network.svg                           | SVG                |         10 |          0 |          0 |         10 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/assets/svg/orca-black.svg                        | SVG                |         26 |          0 |          0 |         26 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/assets/svg/orca-white.svg                        | SVG                |         26 |          0 |          0 |         26 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/assets/svg/output.svg                            | SVG                |         17 |          0 |          0 |         17 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/assets/svg/play.svg                              | SVG                |          9 |          0 |          0 |          9 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/assets/svg/plus.svg                              | SVG                |          8 |          0 |          0 |          8 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/assets/svg/react-logo-white.svg                  | SVG                |         11 |          0 |          0 |         11 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/assets/svg/react.svg                             | SVG                |          6 |          0 |          0 |          6 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/assets/svg/scale.svg                             | SVG                |          9 |          0 |          0 |          9 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/assets/svg/search.svg                            | SVG                |          9 |          0 |          0 |          9 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/assets/svg/shield.svg                            | SVG                |          9 |          0 |          0 |          9 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/assets/svg/shopping-bag.svg                      | SVG                |         15 |          0 |          0 |         15 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/assets/svg/stack.svg                             | SVG                |          9 |          0 |          0 |          9 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/assets/svg/stop.svg                              | SVG                |          9 |          0 |          0 |          9 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/assets/svg/tailwind-logo-white.svg               | SVG                |          9 |          0 |          0 |          9 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/assets/svg/tools-black.svg                       | SVG                |         27 |          0 |          0 |         27 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/assets/svg/tools-white.svg                       | SVG                |         27 |          0 |          0 |         27 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/assets/svg/typescript-logo-white.svg             | SVG                |          9 |          0 |          0 |          9 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/assets/svg/update.svg                            | SVG                |          9 |          0 |          0 |          9 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/assets/svg/upload.svg                            | SVG                |         12 |          0 |          0 |         12 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/assets/svg/vite.svg                              | SVG                |         20 |          0 |          0 |         20 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/assets/svg/worker-man.svg                        | SVG                |        106 |          0 |         14 |        120 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/components/AboutSection/index.tsx                | TypeScript JSX     |        115 |          0 |          3 |        118 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/components/BackgroundGradient/index.tsx          | TypeScript JSX     |         13 |          0 |          2 |         15 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/components/BackgroundImage/index.tsx             | TypeScript JSX     |         18 |          0 |          3 |         21 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/components/DialogueMessage/index.tsx             | TypeScript JSX     |         54 |          1 |          9 |         64 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/components/FeaturesSection/index.tsx             | TypeScript JSX     |         73 |          1 |          4 |         78 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/components/HeaderSection/index.tsx               | TypeScript JSX     |         45 |          0 |          3 |         48 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/components/Loading/index.tsx                     | TypeScript JSX     |         15 |          0 |          2 |         17 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/components/NavBar/index.tsx                      | TypeScript JSX     |         64 |          0 |          6 |         70 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/components/OtherMaterialsSection/index.tsx       | TypeScript JSX     |         34 |          0 |          2 |         36 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/components/ScrollAssistant/index.tsx             | TypeScript JSX     |         36 |         12 |         10 |         58 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/components/TeamSection/index.tsx                 | TypeScript JSX     |         84 |          0 |          3 |         87 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/components/TechStackSection/index.tsx            | TypeScript JSX     |         64 |          0 |          3 |         67 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/constants/index.ts                               | TypeScript         |          1 |          0 |          1 |          2 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/hooks/useAuth.tsx                                | TypeScript JSX     |        125 |          6 |         21 |        152 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/index.tsx                                        | TypeScript JSX     |         10 |          1 |          3 |         14 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/pages/DeveloperOptions/index.tsx                 | TypeScript JSX     |         40 |          2 |          5 |         47 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/pages/GetStarted/ConsumerLogin.tsx               | TypeScript JSX     |        105 |          0 |         13 |        118 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/pages/GetStarted/ConsumerSignup.tsx              | TypeScript JSX     |        114 |          1 |         12 |        127 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/pages/GetStarted/DeveloperLogin.tsx              | TypeScript JSX     |        105 |          0 |         12 |        117 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/pages/GetStarted/DeveloperSignup.tsx             | TypeScript JSX     |        114 |          1 |         12 |        127 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/pages/GetStarted/Recover.tsx                     | TypeScript JSX     |        122 |          0 |         14 |        136 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/pages/GetStarted/ResetPassword.tsx               | TypeScript JSX     |         84 |          4 |         10 |         98 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/pages/GetStarted/index.tsx                       | TypeScript JSX     |         60 |          3 |          6 |         69 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/pages/Home/index.tsx                             | TypeScript JSX     |         30 |          0 |          4 |         34 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/pages/Microservices/MicroserviceCard.tsx         | TypeScript JSX     |        138 |          2 |          9 |        149 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/pages/Microservices/MicroserviceCards.tsx        | TypeScript JSX     |         35 |          4 |          5 |         44 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/pages/Microservices/index.tsx                    | TypeScript JSX     |         78 |          0 |          7 |         85 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/pages/UploadMicroservice/Input.tsx               | TypeScript JSX     |         53 |          0 |          3 |         56 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/pages/UploadMicroservice/index.tsx               | TypeScript JSX     |        216 |         10 |         16 |        242 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/router/index.tsx                                 | TypeScript JSX     |         38 |          1 |          1 |         40 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/types/input.d.ts                                 | TypeScript         |          7 |          0 |          2 |          9 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/types/microservice-data.d.ts                     | TypeScript         |         16 |          0 |          2 |         18 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/types/microservice-upload.d.ts                   | TypeScript         |          6 |          0 |          1 |          7 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/types/password-reset.d.ts                        | TypeScript         |          4 |          0 |          1 |          5 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/types/recovery-data.d.ts                         | TypeScript         |          4 |          0 |          1 |          5 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/types/type.d.ts                                  | TypeScript         |          1 |          0 |          1 |          2 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/types/user-data.d.ts                             | TypeScript         |          9 |          0 |          1 |         10 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/types/user-upload.d.ts                           | TypeScript         |          6 |          0 |          1 |          7 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/src/vite-env.d.ts                                    | TypeScript         |          0 |          1 |          1 |          2 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/tailwind.config.js                                   | JavaScript         |         31 |          1 |          1 |         33 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/tsconfig.json                                        | JSON with Comments |         21 |          2 |          3 |         26 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/tsconfig.node.json                                   | JSON               |         10 |          0 |          1 |         11 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/presentation/vite.config.ts                                       | TypeScript         |          5 |          1 |          2 |          8 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/testing/applicationtests/dockerhubAPI_test.go                     | Go                 |         55 |         22 |         13 |         90 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/testing/applicationtests/executeService_test.go                   | Go                 |         87 |         13 |         21 |        121 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/testing/applicationtests/githubAPI_test.go                        | Go                 |         68 |         10 |         19 |         97 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/testing/applicationtests/stopService_test.go                      | Go                 |         57 |         11 |         15 |         83 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/testing/applicationtests/uploadService_test.go                    | Go                 |        237 |         26 |         47 |        310 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/testing/dataaccesstests/dbSetup_test.go                           | Go                 |         49 |          8 |         14 |         71 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/testing/dataaccesstests/microservicesDAO_test.go                  | Go                 |        124 |         28 |         29 |        181 |
| /Users/carterrath/Documents/Fall2023/SE490/ServerlessOrchestrator/testing/dataaccesstests/userDAO_test.go                           | Go                 |         91 |         16 |         24 |        131 |
| Total                                                                                                                               |                    |     14,215 |        438 |        816 |     15,469 |
+-------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
